timestamp,CH1,CH2,CH3,CH4
2026-03-31T00:12:15.498884,0.008010,0.093639,0.000000,0.217763
2026-03-31T00:12:15.581566,0.008011,0.093510,0.000000,0.216953
2026-03-31T00:12:15.591236,0.003980,0.095046,0.000000,0.217831
2026-03-31T00:12:15.591352,0.009929,0.095153,0.000000,0.213447
2026-03-31T00:12:15.591451,0.008035,0.095338,0.000000,0.221867
2026-03-31T00:12:15.609382,0.010998,0.092616,0.000000,0.218217
2026-03-31T00:12:15.609453,0.009925,0.098543,0.000000,0.215365
2026-03-31T00:12:15.609512,0.009005,0.099567,0.000000,0.209454
2026-03-31T00:12:15.609588,0.000040,0.099068,0.000000,0.206663
2026-03-31T00:12:15.609663,0.010010,0.095898,0.000000,0.218037
2026-03-31T00:12:15.609734,0.008954,0.120938,0.000000,0.210360
2026-03-31T00:12:15.609802,0.007058,0.097875,0.000000,0.212707
2026-03-31T00:12:15.609923,0.006096,0.094686,0.000000,0.211382
2026-03-31T00:12:15.610076,0.006004,0.094813,0.000000,0.217190
2026-03-31T00:12:15.624471,0.010001,0.095578,0.000000,0.215674
2026-03-31T00:12:15.624579,0.008009,0.095049,0.000000,0.207986
2026-03-31T00:12:15.624641,0.011919,0.096104,0.000000,0.215909
2026-03-31T00:12:15.624757,0.005060,0.094471,0.000000,0.200579
2026-03-31T00:12:15.625036,0.013129,0.090106,0.000000,0.215764
2026-03-31T00:12:15.625268,0.007810,0.095893,0.000000,0.193911
2026-03-31T00:12:15.625361,0.004963,0.090053,0.000000,0.209892
2026-03-31T00:12:15.625434,0.006095,0.094222,0.000000,0.216098
2026-03-31T00:12:15.625534,0.000033,0.091613,0.000000,0.213401
2026-03-31T00:12:15.625604,0.001932,0.093622,0.000000,0.210421
2026-03-31T00:12:15.625665,0.011970,0.092868,0.000000,0.217096
2026-03-31T00:12:15.625724,0.013121,0.095669,0.000000,0.216263
2026-03-31T00:12:15.625781,0.011931,0.090610,0.000000,0.215365
2026-03-31T00:12:15.625838,0.006980,0.089605,0.000000,0.214716
2026-03-31T00:12:15.625894,0.008772,0.089173,0.000000,0.213028
2026-03-31T00:12:15.625951,0.003998,0.086866,0.000000,0.215291
2026-03-31T00:12:15.626007,0.004108,0.090206,0.000000,0.217192
2026-03-31T00:12:15.626063,-0.000112,0.088115,0.000000,0.207618
2026-03-31T00:12:15.626119,0.010004,0.089074,0.000000,0.219226
2026-03-31T00:12:15.626176,0.010803,0.088084,0.000000,0.214832
2026-03-31T00:12:15.626232,0.010054,0.082805,0.000000,0.213626
2026-03-31T00:12:15.626288,0.005971,0.102570,0.000000,0.218353
2026-03-31T00:12:15.626353,0.008025,0.085469,0.000000,0.215899
2026-03-31T00:12:15.626412,0.012178,0.082369,0.000000,0.216271
2026-03-31T00:12:15.626498,0.012992,0.081955,0.000000,0.215872
2026-03-31T00:12:15.626573,0.004966,0.082840,0.000000,0.211761
2026-03-31T00:12:15.626637,0.013859,0.086642,0.000000,0.218849
2026-03-31T00:12:15.626754,0.008977,0.080684,0.000000,0.218087
2026-03-31T00:12:15.626826,0.014918,0.064251,0.000000,0.214963
2026-03-31T00:12:15.626896,0.010083,0.083340,0.000000,0.219329
2026-03-31T00:12:15.627046,0.007096,0.087370,0.000000,0.216305
2026-03-31T00:12:15.627137,0.003014,0.080832,0.000000,0.218478
2026-03-31T00:12:15.627190,0.009037,0.077871,0.000000,0.217222
2026-03-31T00:12:15.627261,0.010884,0.078836,0.000000,0.216469
2026-03-31T00:12:15.627331,0.004032,0.082159,0.000000,0.214677
2026-03-31T00:12:15.627394,0.008027,0.082153,0.000000,0.218687
2026-03-31T00:12:15.627457,0.004847,0.086937,0.000000,0.211348
2026-03-31T00:12:15.627523,0.008134,0.082350,0.000000,0.212978
2026-03-31T00:12:15.627577,0.009927,0.083427,0.000000,0.211166
2026-03-31T00:12:15.627632,0.010997,0.081882,0.000000,0.214524
2026-03-31T00:12:15.627692,0.011940,0.089296,0.000000,0.219199
2026-03-31T00:12:15.627754,0.001889,0.083037,0.000000,0.213996
2026-03-31T00:12:15.627809,0.006002,0.087247,0.000000,0.214305
2026-03-31T00:12:15.627890,0.000964,0.085333,0.000000,0.211068
2026-03-31T00:12:15.627955,0.010037,0.084577,0.000000,0.192152
2026-03-31T00:12:15.628019,0.011949,0.088453,0.000000,0.212772
2026-03-31T00:12:15.628071,0.002967,0.076778,0.000000,0.209712
2026-03-31T00:12:15.630384,0.013058,0.086147,0.000000,0.210259
2026-03-31T00:12:15.633129,0.005017,0.084888,0.000000,0.211652
2026-03-31T00:12:15.635795,0.009973,0.088842,0.000000,0.212321
2026-03-31T00:12:15.635863,0.012913,0.078909,0.000000,0.214160
2026-03-31T00:12:15.638579,0.009013,0.081620,0.000000,0.211972
2026-03-31T00:12:15.641404,0.010071,0.079776,0.000000,0.220157
2026-03-31T00:12:15.644159,0.009089,0.081996,0.000000,0.205975
2026-03-31T00:12:15.646879,0.006993,0.077917,0.000000,0.212344
2026-03-31T00:12:15.646943,0.006983,0.080695,0.000000,0.207026
2026-03-31T00:12:15.649589,0.008197,0.078749,0.000000,0.200254
2026-03-31T00:12:15.652390,0.009961,0.075283,0.000000,0.218249
2026-03-31T00:12:15.655133,0.005842,0.075330,0.000000,0.206331
2026-03-31T00:12:15.655206,0.003840,0.078260,0.000000,0.210086
2026-03-31T00:12:15.657947,0.012096,0.072957,0.000000,0.212391
2026-03-31T00:12:15.660675,0.004054,0.074756,0.000000,0.205124
2026-03-31T00:12:15.663411,0.009964,0.072971,0.000000,0.213796
2026-03-31T00:12:15.666239,0.003993,0.076203,0.000000,0.211027
2026-03-31T00:12:15.666310,0.007992,0.073067,0.000000,0.219636
2026-03-31T00:12:15.668965,0.008858,0.070035,0.000000,0.213874
2026-03-31T00:12:15.671688,0.009047,0.067680,0.000000,0.214906
2026-03-31T00:12:15.674401,0.009071,0.069925,0.000000,0.211516
2026-03-31T00:12:15.674527,-0.000073,0.068294,0.000000,0.209490
2026-03-31T00:12:15.677236,0.010999,0.070061,0.000000,0.211862
2026-03-31T00:12:15.679994,0.012811,0.071829,0.000000,0.237639
2026-03-31T00:12:15.682702,0.009010,0.078032,0.000000,0.207071
2026-03-31T00:12:15.689992,0.010070,0.063817,0.000000,0.212788
2026-03-31T00:12:15.690148,0.009112,0.064218,0.000000,0.205965
2026-03-31T00:12:15.690234,0.006917,0.069096,0.000000,0.210138
2026-03-31T00:12:15.694190,0.008981,0.056862,0.000000,0.210908
2026-03-31T00:12:15.700373,0.006999,0.064053,0.000000,0.207727
2026-03-31T00:12:15.705917,0.011962,0.064014,0.000000,0.216255
2026-03-31T00:12:15.708505,0.009089,0.066034,0.000000,0.210759
2026-03-31T00:12:15.708701,0.010887,0.067024,0.000000,0.206574
2026-03-31T00:12:15.708790,0.008937,0.065953,0.000000,0.208025
2026-03-31T00:12:15.709923,0.006058,0.064224,0.000000,0.206819
2026-03-31T00:12:15.710393,0.012996,0.063953,0.000000,0.204112
2026-03-31T00:12:15.711162,0.006000,0.066985,0.000000,0.207397
2026-03-31T00:12:15.711237,0.006083,0.064277,0.000000,0.206787
2026-03-31T00:12:15.715083,0.008069,0.063708,0.000000,0.203980
2026-03-31T00:12:15.715885,0.011035,0.063905,0.000000,0.209032
2026-03-31T00:12:15.715958,0.010017,0.067922,0.000000,0.208208
2026-03-31T00:12:15.718620,0.008825,0.060909,0.000000,0.206134
2026-03-31T00:12:15.721367,0.010165,0.064072,0.000000,0.205297
2026-03-31T00:12:15.724098,0.011856,0.064126,0.000000,0.204567
2026-03-31T00:12:15.724152,0.006022,0.063867,0.000000,0.206936
2026-03-31T00:12:15.726924,0.008128,0.065303,0.000000,0.193716
2026-03-31T00:12:15.729713,0.004984,0.063838,0.000000,0.205127
2026-03-31T00:12:15.732375,0.010903,0.063868,0.000000,0.202214
2026-03-31T00:12:15.735171,0.009046,0.063964,0.000000,0.203944
2026-03-31T00:12:15.735248,0.008111,0.061738,0.000000,0.201704
2026-03-31T00:12:15.737943,0.007032,0.060003,0.000000,0.198688
2026-03-31T00:12:15.740682,0.011938,0.057015,0.000000,0.205520
2026-03-31T00:12:15.743424,0.008924,0.060122,0.000000,0.200998
2026-03-31T00:12:15.743497,0.013018,0.061943,0.000000,0.204741
2026-03-31T00:12:15.746228,0.013051,0.056023,0.000000,0.205230
2026-03-31T00:12:15.748980,0.006959,0.057053,0.000000,0.205321
2026-03-31T00:12:15.751747,0.007041,0.053803,0.000000,0.203088
2026-03-31T00:12:15.754476,0.008013,0.056034,0.000000,0.200157
2026-03-31T00:12:15.754527,0.009833,0.059887,0.000000,0.201774
2026-03-31T00:12:15.757356,0.011010,0.055838,0.000000,0.199584
2026-03-31T00:12:15.760020,0.001904,0.055957,0.000000,0.197608
2026-03-31T00:12:15.762883,0.011920,0.055865,0.000000,0.197370
2026-03-31T00:12:15.762940,0.007050,0.052080,0.000000,0.204608
2026-03-31T00:12:15.765627,0.012923,0.049790,0.000000,0.199696
2026-03-31T00:12:15.769807,0.009039,0.052031,0.000000,0.197118
2026-03-31T00:12:15.772612,0.008019,0.048745,0.000000,0.193998
2026-03-31T00:12:15.773761,0.008937,0.049027,0.000000,0.196747
2026-03-31T00:12:15.773824,0.011005,0.047803,0.000000,0.197510
2026-03-31T00:12:15.776600,0.005933,0.047046,0.000000,0.195809
2026-03-31T00:12:15.779391,0.008959,0.051976,0.000000,0.197468
2026-03-31T00:12:15.782200,0.006079,0.050190,0.000000,0.198521
2026-03-31T00:12:15.784961,0.013105,0.049728,0.000000,0.196034
2026-03-31T00:12:15.785065,0.010047,0.054018,0.000000,0.197992
2026-03-31T00:12:15.787752,0.010038,0.052027,0.000000,0.195580
2026-03-31T00:12:15.790342,0.010008,0.052061,0.000000,0.193196
2026-03-31T00:12:15.793163,0.009883,0.057171,0.000000,0.192653
2026-03-31T00:12:15.793228,0.013065,0.047888,0.000000,0.193893
2026-03-31T00:12:15.796142,0.009121,0.051952,0.000000,0.192583
2026-03-31T00:12:15.798904,0.013062,0.051150,0.000000,0.181749
2026-03-31T00:12:15.801449,0.013012,0.052236,0.000000,0.204167
2026-03-31T00:12:15.804141,0.010006,0.056049,0.000000,0.189513
2026-03-31T00:12:15.804206,0.006884,0.051158,0.000000,0.189367
2026-03-31T00:12:15.806952,0.012966,0.050996,0.000000,0.188617
2026-03-31T00:12:15.809711,0.012054,0.049153,0.000000,0.189696
2026-03-31T00:12:15.812508,0.007012,0.050187,0.000000,0.188281
2026-03-31T00:12:15.812577,0.010035,0.048949,0.000000,0.193498
2026-03-31T00:12:15.815252,0.007981,0.047997,0.000000,0.192821
2026-03-31T00:12:15.819072,0.007925,0.047809,0.000000,0.187735
2026-03-31T00:12:15.820663,0.011116,0.050109,0.000000,0.185224
2026-03-31T00:12:15.823487,0.000064,0.047024,0.000000,0.182892
2026-03-31T00:12:15.823575,0.011136,0.046209,0.000000,0.182911
2026-03-31T00:12:15.826221,0.008934,0.044038,0.000000,0.183480
2026-03-31T00:12:15.829016,0.011016,0.047918,0.000000,0.164806
2026-03-31T00:12:15.831864,0.012978,0.048251,0.000000,0.184357
2026-03-31T00:12:15.831938,0.008078,0.043814,0.000000,0.182474
2026-03-31T00:12:15.834584,0.007969,0.047077,0.000000,0.162676
2026-03-31T00:12:15.837304,0.013073,0.038858,0.000000,0.184249
